Key,Parameter,ja-jp,en-us,zh-cn,zh-tw,ko-kr,es-es,ar-sa,id-id
ColumnResolution,,解像度,Resolution,分辨率,解析度,해상도,Resolución,الدقة,Resolusi
ColumnScale,,倍率,Scale,倍率,倍率,배율,Escala,المقياس,Skala
ColumnChunks,,チャンク,Chunks,分块,分塊,청크,Fragmentos,المقاطع,Potongan
ColumnSize,,サイズ,Size,大小,大小,크기,Tamaño,الحجم,Ukuran
ColumnLastUsed,,最終利用,Last used,最后使用,最後使用,마지막 사용,Último uso,آخر استخدام,Terakhir digunakan
GeneratingProxies,,プロキシを生成しています,Generating proxies,正在生成代理,正在產生代理,프록시를 생성하고 있습니다,Generando proxies,جارٍ إنشاء الوكلاء,Sedang membuat proksi
StatusWaiting,,待機中,Waiting,等待中,等待中,대기 중,En espera,في الانتظار,Menunggu
StatusGenerating,,生成中,Generating,生成中,產生中,생성 중,Generando,قيد الإنشاء,Sedang dibuat
StatusCompleted,,完了,Completed,完成,完成,완료,Completado,مكتمل,Selesai
StatusCancelled,,中止,Cancelled,已中止,已中止,중단됨,Cancelado,أُلغي,Dibatalkan
StatusFailed,,失敗,Failed,失败,失敗,실패,Error,فشل,Gagal
FailureFFmpegUnavailable,,ffmpeg が見つかりません,ffmpeg was not found,未找到 ffmpeg,未找到 ffmpeg,ffmpeg를 찾을 수 없습니다,No se encontró ffmpeg,لم يتم العثور على ffmpeg,ffmpeg tidak ditemukan
FailureSourceUnavailable,,動画を開けません,The video cannot be opened,无法打开视频,無法開啟影片,동영상을 열 수 없습니다,No se puede abrir el vídeo,تعذر فتح الفيديو,Video tidak dapat dibuka
FailureNoFrames,,フレームがありません,The video has no frames,视频没有帧,影片沒有影格,프레임이 없습니다,El vídeo no tiene fotogramas,لا يحتوي الفيديو على إطارات,Video tidak memiliki frame
FailureUnusableSize,,画像の大きさを扱えません,The image size cannot be handled,无法处理图像大小,無法處理影像大小,이미지 크기를 처리할 수 없습니다,No se puede manejar el tamaño de la imagen,تعذر التعامل مع حجم الصورة,Ukuran gambar tidak dapat ditangani
FailureTransparent,,透明を含むため対象外です,Excluded because it contains transparency,包含透明，因此不适用,包含透明，因此不適用,투명을 포함하므로 대상에서 제외됩니다,Excluido porque contiene transparencia,مستبعد لاحتوائه على شفافية,Dikecualikan karena mengandung transparansi
FailureFFmpegFailed,,ffmpeg が失敗しました,ffmpeg failed,ffmpeg 失败,ffmpeg 失敗,ffmpeg가 실패했습니다,ffmpeg falló,فشل ffmpeg,ffmpeg gagal
FailureNoOutput,,出力が作られませんでした,No output was produced,未生成输出,未產生輸出,출력이 만들어지지 않았습니다,No se produjo ninguna salida,لم يتم إنتاج أي مخرجات,Tidak ada keluaran yang dihasilkan
FailureSourceChanged,,元の動画が変更されました,The source video was modified,源视频已被修改,來源影片已被修改,원본 동영상이 변경되었습니다,El vídeo de origen fue modificado,تم تعديل الفيديو المصدر,Video sumber telah diubah
